id,code,brand,category,short_description,description,severity,diy_possible,source,last_verified_at,scrape_status,linked_product_codes,article_exists,en_exists,sv_exists,classification,recommended_action,blocking_issues
869,9C1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
870,9C2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
875,AC5,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
876,AC6,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
878,SUD,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
879,8C1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
880,8C2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
881,8C,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
882,PC,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
883,PC1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
885,SF2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
886,SF3,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
